path,puzzle,puzzle_statistics.black_cells,run,seed,size,solver,statistics.conflicts,statistics.decisions,statistics.encoding_size.assertions,statistics.encoding_size.bool_vars,statistics.encoding_size.bv_vars,statistics.encoding_size.int_vars,statistics.max_memory,statistics.memory,statistics.propagations,statistics.rlimit_count,statistics.runtime
puzzles/5x5\01e8e35c-77b6-4ec3-82ee-6809df755a96.singles,01e8e35c-77b6-4ec3-82ee-6809df755a96,7,0,1787173126,5,boolean,0,0,1404,702,0,0,19.19,18.09,0,127547,0.15757330000633374
puzzles/5x5\03297488-255e-479b-80d4-e70d6029df7f.singles,03297488-255e-479b-80d4-e70d6029df7f,7,0,4099418414,5,boolean,0,0,1406,702,0,0,19.39,18.12,0,260297,0.15801899996586144
puzzles/5x5\059cba32-6e16-430e-a880-c8d2b1e24abb.singles,059cba32-6e16-430e-a880-c8d2b1e24abb,7,0,1758237110,5,boolean,0,0,1403,702,0,0,19.39,18.12,0,387654,0.15751290001207963
puzzles/5x5\0a60153b-9bbc-425c-8aa8-e809b9f017ad.singles,0a60153b-9bbc-425c-8aa8-e809b9f017ad,6,0,3305166447,5,boolean,0,0,1406,702,0,0,19.39,18.12,0,520142,0.15840419998858124
puzzles/5x5\0c37a281-7681-4d5e-aa46-fbafac13c4b4.singles,0c37a281-7681-4d5e-aa46-fbafac13c4b4,7,0,3915353073,5,boolean,0,0,1404,702,0,0,19.39,18.12,0,649821,0.15439250000054017
puzzles/5x5\1355d440-2435-47bc-94cc-8a6013ec7dc8.singles,1355d440-2435-47bc-94cc-8a6013ec7dc8,7,0,2172210180,5,boolean,0,0,1404,702,0,0,19.39,18.12,0,782924,0.1568559999577701
puzzles/5x5\1683edd2-de25-4f37-ac85-1af356bcb6f6.singles,1683edd2-de25-4f37-ac85-1af356bcb6f6,7,0,3573213311,5,boolean,0,0,1403,702,0,0,19.39,18.12,0,914230,0.15760400000726804
puzzles/5x5\19f7dbcd-4a93-4887-bc3f-85b652cf53c5.singles,19f7dbcd-4a93-4887-bc3f-85b652cf53c5,7,0,545696711,5,boolean,0,0,1406,702,0,0,19.39,18.12,0,1043240,0.15738390001934022
puzzles/5x5\1a314a26-c26b-45ed-a627-137e24dd0d06.singles,1a314a26-c26b-45ed-a627-137e24dd0d06,7,0,708700681,5,boolean,0,0,1408,702,0,0,19.39,18.12,0,1172013,0.16173380002146587
puzzles/5x5\1c16bec5-d676-44a8-80c5-17a9a91e21e8.singles,1c16bec5-d676-44a8-80c5-17a9a91e21e8,7,0,275619409,5,boolean,0,0,1404,702,0,0,19.39,18.12,0,1300979,0.16207500000018626
puzzles/5x5\1e054fc0-ad97-47ec-8564-e2ce56869e87.singles,1e054fc0-ad97-47ec-8564-e2ce56869e87,7,0,2833820550,5,boolean,0,0,1403,702,0,0,19.39,18.12,0,1433812,0.15959819999989122
puzzles/5x5\1e590cb4-910a-4b28-9e4f-20e70340263a.singles,1e590cb4-910a-4b28-9e4f-20e70340263a,6,0,3478571383,5,boolean,0,0,1405,702,0,0,19.39,18.1,0,1562524,0.16149629995925352
puzzles/5x5\1f3dd1e6-246f-413f-b404-f1942b2a9f34.singles,1f3dd1e6-246f-413f-b404-f1942b2a9f34,7,0,935918860,5,boolean,0,0,1405,702,0,0,19.39,18.18,0,1696860,0.1640375000424683
puzzles/5x5\1f4efad4-4383-4f34-b826-eb627742be12.singles,1f4efad4-4383-4f34-b826-eb627742be12,7,0,3371253933,5,boolean,0,0,1404,702,0,0,19.4,18.18,0,1831382,0.16392349998932332
puzzles/5x5\20189c13-3ac5-491d-9686-5de3673441bf.singles,20189c13-3ac5-491d-9686-5de3673441bf,7,0,3754256289,5,boolean,0,0,1404,702,0,0,19.4,18.12,0,1969543,0.1634353999979794
puzzles/5x5\21c11a77-c827-42e6-8de3-3f6e293019f3.singles,21c11a77-c827-42e6-8de3-3f6e293019f3,7,0,1748505307,5,boolean,0,0,1406,702,0,0,19.4,18.12,0,2099875,0.1625355000142008
puzzles/5x5\229565d9-4d0c-450e-ad7c-7f6b5b96ac14.singles,229565d9-4d0c-450e-ad7c-7f6b5b96ac14,7,0,4137022620,5,boolean,0,0,1405,702,0,0,19.4,18.12,0,2228762,0.16249230003450066
puzzles/5x5\230d9c06-5a5b-4512-932e-ca1f369819d1.singles,230d9c06-5a5b-4512-932e-ca1f369819d1,7,0,3602833365,5,boolean,0,0,1404,702,0,0,19.4,18.12,0,2358761,0.16168369998922572
puzzles/5x5\242d8457-ebb9-4153-8760-a15a60c52b82.singles,242d8457-ebb9-4153-8760-a15a60c52b82,6,0,1439750096,5,boolean,0,0,1404,702,0,0,19.4,18.12,0,2490347,0.16034369997214526
puzzles/5x5\24379fab-9c40-4e2e-bd28-1a419d8e1e66.singles,24379fab-9c40-4e2e-bd28-1a419d8e1e66,7,0,1572786153,5,boolean,0,0,1407,702,0,0,19.4,18.12,0,2618038,0.1598138000117615
puzzles/5x5\24dd8880-d1df-462b-a3b6-9fe199ee764b.singles,24dd8880-d1df-462b-a3b6-9fe199ee764b,9,0,1924761071,5,boolean,0,0,1408,702,0,0,19.4,18.12,0,2748077,0.16021589998854324
puzzles/5x5\2711ef2b-1efc-4bec-be45-c35fbed5477b.singles,2711ef2b-1efc-4bec-be45-c35fbed5477b,7,0,2383666187,5,boolean,0,0,1405,702,0,0,19.4,18.1,0,2878499,0.16064610000466928
puzzles/5x5\274c1fd1-84fb-4840-bdd3-b0e367a83266.singles,274c1fd1-84fb-4840-bdd3-b0e367a83266,7,0,412386591,5,boolean,0,0,1406,702,0,0,19.4,18.12,0,3007591,0.16000549995806068
puzzles/5x5\29e66b59-6569-4a81-b7ea-90df9ada4518.singles,29e66b59-6569-4a81-b7ea-90df9ada4518,7,0,3245311874,5,boolean,0,0,1403,702,0,0,19.4,18.12,0,3143590,0.15129730000626296
puzzles/5x5\2ab686d6-7283-4074-ace4-8ca88fbaa79c.singles,2ab686d6-7283-4074-ace4-8ca88fbaa79c,6,0,2330243469,5,boolean,0,0,1403,702,0,0,19.4,18.18,0,3280172,0.15069340000627562
puzzles/5x5\2b4c7939-0663-432f-94ab-3c4122af01d5.singles,2b4c7939-0663-432f-94ab-3c4122af01d5,6,0,4087190274,5,boolean,0,0,1405,702,0,0,19.4,18.12,0,3417810,0.15222009998979047
puzzles/5x5\2ba48b6a-9ddf-4974-8d47-dce17369a219.singles,2ba48b6a-9ddf-4974-8d47-dce17369a219,7,0,392331648,5,boolean,0,0,1404,702,0,0,19.4,18.12,0,3558793,0.15066769998520613
puzzles/5x5\32a0a17f-2c68-47b1-a0c6-33b02c85059d.singles,32a0a17f-2c68-47b1-a0c6-33b02c85059d,7,0,2578349218,5,boolean,0,0,1403,702,0,0,19.4,18.12,0,3693271,0.15526629996020347
puzzles/5x5\337e1f64-56d5-4a08-8c1c-f3da2afe5b4e.singles,337e1f64-56d5-4a08-8c1c-f3da2afe5b4e,7,0,231749549,5,boolean,0,0,1407,702,0,0,19.4,18.12,0,3826684,0.15978220000397414
puzzles/5x5\34daa4ad-27a4-4604-b2a3-cf32a707fe8a.singles,34daa4ad-27a4-4604-b2a3-cf32a707fe8a,7,0,2401060733,5,boolean,0,0,1408,702,0,0,19.4,18.18,0,3954300,0.15626320004230365
